DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
COMENT The trajectory records end at the end of file
ORBIT
 7004579251184000 -2994773763  5733075208 -2380047405 25493380068-15952008358-70703810906      0      0      0    0 LD 
 7004579281184000 -2916782830  5681929808 -2590811790 26494204998-18142468115-69792944660      0      0  -3000    0 LD 
 7004579311184000 -2835847256  5624236421 -2798728602 27456308776-20316906883-68805609694      0      0  -3000    0 LD 
 7004579341184000 -2752084667  5560046936 -3003570107 28378725009-22472777214-67742936053      0      0  -3000    0 LD 
 7004579371184000 -2665615505  5489420854 -3205112090 29260543736-24607551883-66606136990      0      0  -3000    0 LD 
 7004579401184000 -2576562856  5412425225 -3403134096 30100912536-26718726725-65396507261      0      0  -3000    0 LD 
 7004579431184000 -2485052275  5329134572 -3597419675 30899038490-28803824457-64115421045      0      0  -3000    0 LD 
 7004579461184000 -2391211603  5239630804 -3787756613 31654188490-30860397673-62764328011      0      0  -3000    0 WD 
 7004579491184000 -2295170796  5144003128 -3973937157 32365688179-32886030532-61344752141      0      0  -3000    0 WD 
 7004579521184000 -2197061742  5042347943 -4155758238 33032922452-34878342909-59858290453      0      0  -3000    0 WD 
 7004579551184000 -2097018084  4934768734 -4333021678 33655335480-36834992550-58306608744      0      0  -2000    0 WD 
 7004579581184000 -1995175049  4821375956 -4505534401 34232430426-38753675017-56691440520      0      0  -2000    0 WD 
 7004579611184000 -1891669259  4702286916 -4673108634 34763770576-40632126858-55014587082      0      0  -2000    0 WD 
 7004579641184000 -1786638558  4577625646 -4835562103 35248979951-42468129428-53277914852      0      0  -2000    0 WD 
 7004579671184000 -1680221827  4447522762 -4992718231 35687743036-44259511316-51483352628      0      0  -2000    0 WD 
 7004579701184000 -1572558803  4312115322 -5144406316 36079804596-46004150583-49632889454      0      0  -2000    0 WD 
 7004579731184000 -1463789898  4171546673 -5290461712 36424969686-47699977188-47728572534      0      0  -2000    0 WD 
 7004579761184000 -1354056018  4025966289 -5430725998 36723103694-49344975576-45772504867      0      0  -2000    0 WD 
 7004579791184000 -1243498384  3875529608 -5565047145 36974132148-50937187127-43766842541      0      0  -2000    0 WD 
 7004579821184000 -1132258348  3720397855 -5693279664 37178040273-52474712342-41713792014      0      0  -2000    0 WD 
 7004579851184000 -1020477220  3560737861 -5815284761 37334872543-53955712885-39615607456      0      0  -2000    0 WD 
 7004579881184000  -908296087  3396721880 -5930930472 37444732276-55378413568-37474588107      0      0  -1000    0 WD 
 7004579911184000  -795855639  3228527392 -6040091795 37507781216-56741104492-35293075454      0      0  -1000    0 WD 
 7004579941184000  -683295993  3056336907 -6142650811 37524238786-58042142918-33073449525      0      0  -1000    0 WD 
 7004579971184000  -570756524  2880337764 -6238496793 37494380468-59279953242-30818125594      0      0  -1000    0 WD 
 7004580001184000  -458375697  2700721927 -6327526315 37418536757-60453027122-28529553818      0      0  -1000    0 LD 
 7004580031184000  -346290905  2517685779 -6409643351 37297093399-61559926493-26210218184      0      0  -1000    0 LD 
 7004580061184000  -234638299  2331429910 -6484759374 37130490028-62599286394-23862632866      0      0  -1000    0 LD 
 7004580091184000  -123552635  2142158893 -6552793440 36919218120-63569815910-21489339575      0      0  -1000    0 LD 
 7004580121184000   -13167117  1950081063 -6613672270 36663820950-64470299166-19092905645      0      0  -1000    0 LD 
 7004580151184000    96386759  1755408286 -6667330322 36364893804-65299597047-16675921052      0      0      0    0 LD 
 7004580181184000   204979361  1558355730 -6713709854 36023083051-66056648562-14240994752      0      0      0    0 LD 
 7004580211184000   312483068  1359141627 -6752760973 35639084652-66740470783-11790751337      0      0      0    0 LD 
 7004580241184000   418772423  1157987042 -6784441683 35213642503-67350158403 -9327829969      0      0      0    0 LD 
